,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil15_CE_251_N5_-100_None_T9,nan,nan,nan,nan,nan,nan,nan,0.158,1.276,1.489,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.067,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,2.259,2.776
Soil15_CE_251_N5_-65_None_T9,nan,nan,nan,nan,nan,nan,nan,6.510,7.985,4.844,0.000,1.029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.529,nan,nan,nan,nan,nan,nan,0.192,nan,nan,nan,nan,nan,nan,1.883,10.982
Soil15_CE_251_N5_0_None_T9,nan,nan,nan,nan,nan,nan,nan,114.775,113.982,34.346,4.447,42.548,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.596,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,10.546,78.259
Soil15_CE_251_N5_12_None_T9,nan,nan,nan,nan,nan,nan,nan,105.277,119.089,36.576,4.524,30.406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.728,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,12.050,78.725
Soil15_CE_251_N5_16_None_T9,nan,nan,nan,nan,nan,nan,nan,67.833,87.742,18.079,2.290,26.082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.066,nan,nan,nan,nan,nan,nan,0.192,nan,nan,nan,nan,nan,nan,7.531,41.037
Soil15_CE_251_N5_20_None_T9,nan,nan,nan,nan,nan,nan,nan,21.203,26.251,16.449,0.215,7.256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.805,nan,nan,nan,nan,nan,nan,0.575,nan,nan,nan,nan,nan,nan,4.142,34.861
Soil15_CE_251_N5_22_None_T9,nan,nan,nan,nan,nan,nan,nan,16.512,21.287,35.953,0.646,3.909,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.571,nan,nan,nan,nan,nan,nan,1.435,nan,nan,nan,nan,nan,nan,17.267,83.946
Soil15_CE_251_N5_26_None_T9,nan,nan,nan,nan,nan,nan,nan,3.868,5.787,6.865,0.000,0.411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.663,nan,nan,nan,nan,nan,nan,0.192,nan,nan,nan,nan,nan,nan,4.142,17.919
Soil15_CE_251_N5_30_None_T9,nan,nan,nan,nan,nan,nan,nan,3.604,2.781,3.960,0.431,0.206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.132,nan,nan,nan,nan,nan,nan,0.383,nan,nan,nan,nan,nan,nan,1.883,12.536
Soil15_CE_251_N5_34_None_T9,nan,nan,nan,nan,nan,nan,nan,3.539,5.067,3.827,0.000,1.440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.397,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,2.636,9.687
Soil15_CE_251_N5_7_None_T9,nan,nan,nan,nan,nan,nan,nan,83.366,90.731,30.138,3.234,20.767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.330,nan,nan,nan,nan,nan,nan,0.668,nan,nan,nan,nan,nan,nan,11.182,54.504
Soil16_CE_251_N6_-100_None_T9,nan,nan,nan,nan,nan,nan,nan,4.430,7.946,7.664,0.000,1.029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.384,nan,nan,nan,nan,nan,nan,0.287,nan,nan,nan,nan,nan,nan,2.259,19.904
Soil16_CE_251_N6_-7_None_T9,nan,nan,nan,nan,nan,nan,nan,66.152,87.647,58.705,3.016,23.871,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.397,nan,nan,nan,nan,nan,nan,1.575,nan,nan,nan,nan,nan,nan,21.830,120.318
Soil16_CE_251_N6_0_None_T9,nan,nan,nan,nan,nan,nan,nan,71.477,96.202,57.775,3.444,26.533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.463,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,23.728,112.271
Soil16_CE_251_N6_11_None_T9,nan,nan,nan,nan,nan,nan,nan,14.717,21.837,39.274,0.215,5.144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.065,nan,nan,nan,nan,nan,nan,0.189,nan,nan,nan,nan,nan,nan,35.539,88.569
Soil16_CE_251_N6_14_None_T9,nan,nan,nan,nan,nan,nan,nan,9.415,14.482,23.728,0.215,2.263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.463,nan,nan,nan,nan,nan,nan,1.051,nan,nan,nan,nan,nan,nan,11.297,55.482
Soil16_CE_251_N6_18_None_T9,nan,nan,nan,nan,nan,nan,nan,4.735,5.583,8.963,0.000,1.029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.331,nan,nan,nan,nan,nan,nan,0.287,nan,nan,nan,nan,nan,nan,2.636,20.677
